No.	Word	Sentence
135	Penguin	The penguin waddled across the ice.
136	Saddle	The saddle was placed on the horse.
137	Amateur	He is an amateur photographer.
138	Magazine	She reads a magazine every week.
139	Thirsty	I feel thirsty after running.
140	Already	I have already finished my work.
141	Understand	I understand the lesson now.
142	Ugliest	That was the ugliest hat I’ve ever seen.
143	Concept	The concept is easy to understand.
144	Freezer	Put the ice cream in the freezer.
145	Toaster	The toaster burned the bread.
146	Shoulder	He carried the bag on his shoulder.
147	Vicissitudes	She learned to face the vicissitudes of life.
148	Explain	Please explain the problem again.
149	Ostrich	An ostrich can run very fast.
150	Dinner	We had dinner together at home.
151	Impossible	It is impossible to finish this alone.
152	Ceramics	The gallery sells handmade ceramics.
153	Pollution	Air pollution affects our health.
154	Electrical	The electrical system needs repair.
155	Weather	The weather changed suddenly.
156	Muesli	He eats muesli with milk for breakfast.
157	Wheelchair	She uses a wheelchair at school.
158	Flop	The show was a complete flop.
159	Patient	The nurse is very patient.
160	Upright	Sit upright during the lesson.
161	Narrator	The narrator speaks clearly.
162	Torch	He turned on the torch in the dark.
163	Blanket	She covered herself with a blanket.
164	Human	Humans need oxygen to live.
165	Inquire	Please inquire at the front desk.
166	Monarch	The monarch addressed the nation.
167	December	December is the coldest month here.
168	Surgery	The patient recovered after surgery.
169	Wrist	She wore a bracelet on her wrist.
170	Deliver	The company will deliver the package.
171	Interview	He passed the job interview.
172	Promise	She made a promise to her parents.
173	Butcher	The butcher cuts the meat carefully.
174	Insect	An insect landed on the flower.
175	Lemon	She added lemon to the tea.
176	Grocery	He went to the grocery store.
177	Farmer	The farmer grows rice.
178	Turkey	Turkey is often served on holidays.
179	Dentist	The dentist cleaned my teeth.
180	Market	The market opens early.
181	Volleyball	They play volleyball every weekend.
182	Heater	Turn on the heater when it’s cold.
183	League	The team joined a new league.
184	Famous	She became famous after the show.
185	Pencil	Sharpen your pencil before writing.
186	Repeat	Please repeat the instructions.
187	Cheesecake	The cheesecake tastes delicious.
188	Quicksand	The character sank into quicksand.
189	Prevent	Exercise helps prevent disease.
190	Purple	She chose a purple bag.
191	Eraser	Use an eraser to fix errors.
192	Bonus	He received a bonus at work.
193	Between	The shop is between two banks.
194	Pumpkins	Pumpkins grow well in autumn.
195	Award	She won an award for singing.
196	Jungle	The jungle is full of wildlife.
197	Thunderstorm	A thunderstorm hit last night.
198	Faraway	They moved to a faraway city.
199	Knives	Keep knives in a safe place.
200	Microphone	He tested the microphone.
201	Swell	The waves began to swell as the storm approached.
202	Stool	He sat on a wooden stool.
203	Tongue	Stick out your tongue and say “ah”.
204	College	She plans to study abroad after college.
205	Museum	The museum displays ancient artifacts.
206	Seaweed	Seaweed washed up on the shore.
207	Barefoot	The children walked barefoot on the sand.
208	Earthquake	The earthquake shook the entire city.
209	Shellfish	Some people are allergic to shellfish.
210	Button	Press the button to start the machine.
211	Nationality	What is your nationality?
212	Grave	The old grave was covered with moss.
213	Delightful	We had a delightful afternoon together.
214	Coat	She wore a thick coat in winter.
215	Suburbs	They live in the quiet suburbs.
216	Cousin	My cousin visits us every holiday.
217	Diplomatic	The leaders held diplomatic talks.
218	Operation	The operation was successful.
219	Comfortable	This chair is very comfortable.
220	Spicy	I like spicy food.
221	Nephew	My nephew is learning to read.
222	Camera	She took photos with her camera.
223	Official	The announcement is now official.
224	Employee	The employee arrived early.
225	Fancy	She wore a fancy dress to the party.
226	Strawberry	He picked fresh strawberry from the farm.
227	Volcanic	The island has volcanic mountains.
228	Fountain	Water sprayed from the fountain.
229	Partial	He gave a partial answer.
230	Medium	I ordered a medium-sized drink.
231	Crowded	The bus was crowded this morning.
232	Sleepy	I feel sleepy after lunch.
233	Village	The village is peaceful and quiet.
234	Homework	She finished her homework early.
235	Penguin	The penguin waddled across the ice.
236	Saddle	The saddle was placed on the horse.
237	Amateur	He is an amateur photographer.
238	Magazine	She reads a magazine every week.
239	Thirsty	I feel thirsty after running.
240	Already	I have already finished my work.
241	Understand	I understand the lesson now.
242	Ugliest	That was the ugliest hat I’ve ever seen.
243	Concept	The concept is easy to understand.
244	Freezer	Put the ice cream in the freezer.
245	Toaster	The toaster burned the bread.
246	Shoulder	He carried the bag on his shoulder.
247	Vicissitudes	She learned to face the vicissitudes of life.
248	Explain	Please explain the problem again.
249	Ostrich	An ostrich can run very fast.
250	Dinner	We had dinner together at home.
251	Impossible	It is impossible to finish this alone.
252	Ceramics	The gallery sells handmade ceramics.
253	Pollution	Air pollution affects our health.
254	Electrical	The electrical system needs repair.
255	Weather	The weather changed suddenly.
256	Muesli	He eats muesli with milk for breakfast.
257	Wheelchair	She uses a wheelchair at school.
258	Flop	The show was a complete flop.
259	Patient	The nurse is very patient.
260	Upright	Sit upright during the lesson.
261	Narrator	The narrator speaks clearly.
262	Torch	He turned on the torch in the dark.
263	Blanket	She covered herself with a blanket.
264	Human	Humans need oxygen to live.
265	Inquire	Please inquire at the front desk.
266	Monarch	The monarch addressed the nation.
267	December	December is the coldest month here.
268	Surgery	The patient recovered after surgery.
269	Wrist	She wore a bracelet on her wrist.
270	Deliver	The company will deliver the package.
271	Interview	He passed the job interview.
272	Promise	She made a promise to her parents.
273	Butcher	The butcher cuts the meat carefully.
274	Insect	An insect landed on the flower.
275	Lemon	She added lemon to the tea.
276	Grocery	He went to the grocery store.
277	Farmer	The farmer grows rice.
278	Turkey	Turkey is often served on holidays.
279	Dentist	The dentist cleaned my teeth.
280	Market	The market opens early.
281	Volleyball	They play volleyball every weekend.
282	Heater	Turn on the heater when it’s cold.
283	League	The team joined a new league.
284	Famous	She became famous after the show.
285	Pencil	Sharpen your pencil before writing.
286	Repeat	Please repeat the instructions.
287	Cheesecake	The cheesecake tastes delicious.
288	Quicksand	The character sank into quicksand.
289	Prevent	Exercise helps prevent disease.
290	Purple	She chose a purple bag.
291	Eraser	Use an eraser to fix errors.
292	Bonus	He received a bonus at work.
293	Between	The shop is between two banks.
294	Pumpkins	Pumpkins grow well in autumn.
295	Award	She won an award for singing.
296	Jungle	The jungle is full of wildlife.
297	Thunderstorm	A thunderstorm hit last night.
298	Faraway	They moved to a faraway city.
299	Knives	Keep knives in a safe place.
300	Microphone	He tested the microphone.
301	Teenager	The teenager enjoys listening to music.
302	Cushion	The cushion makes the chair comfortable.
303	Double	Please double the recipe.
304	Garlic	Garlic adds strong flavor to food.
305	Eighteen	She turned eighteen last year.
306	Painting	The painting hangs on the wall.
307	Cupboard	The plates are kept in the cupboard.
308	Observe	Observe the experiment carefully.
309	Battery	The toy needs a new battery.
310	Energetic	The puppy is very energetic.
311	Rescue	The team worked hard to rescue the hikers.
312	Vacation	We went on vacation during summer.
313	Congratulation	She sent a congratulation message.
314	Scissors	Use scissors to cut the paper.
315	Lazy	He felt lazy on Sunday morning.
316	Mineral	Water contains important minerals.
317	Cosmetic	She bought cosmetic products.
318	Straight	Draw a straight line.
319	Soldier	The soldier guarded the gate.
320	Vegetable	Eating vegetables is good for health.
321	Village	The village is surrounded by fields.
322	Triangle	A triangle has three sides.
323	Initial	Write your initial here.
324	Palace	The palace looks magnificent.
325	Sadness	Her face showed sadness.
326	Journey	The journey was long but fun.
327	Aquarium	We saw sharks at the aquarium.
328	Grammar	Grammar is important in writing.
329	Smooth	The road surface is smooth.
330	Jaguar	A jaguar is a powerful animal.
331	Damage	The storm caused serious damage.
332	Gasoline	The car needs gasoline.
333	Baseball	He plays baseball after school.
334	Hedgehog	The hedgehog curled into a ball.
335	Poodle	The poodle has curly fur.
336	Flight	The flight was delayed.
337	Physics	Physics explains natural laws.
338	Donate	She decided to donate clothes.
339	Ostrich	An ostrich has long legs.
340	Gloves	Wear gloves to protect your hands.
341	October	October comes after September.
342	Couch	He fell asleep on the couch.
343	Prickly	The cactus feels prickly.
344	Giggle	The children giggle during class.
345	Gravy	She poured gravy over the meat.
346	Jealous	He felt jealous of his friend.
347	Robotic	The movements looked robotic.
348	Raincoat	Wear a raincoat in heavy rain.
349	Pedestrian	The pedestrian crossed the street.
350	Skateboard	He rides his skateboard at the park.
351	Knife	Be careful with the knife.
352	Cloudy	It stayed cloudy all day.
353	Kidney	The doctor checked her kidney.
354	Blueberry	She added blueberry to the yogurt.
355	Accurate	His answer was accurate.
356	Grandson	The grandson hugged his grandfather.
357	Naughty	The naughty boy laughed loudly.
358	Seesaw	The children played on the seesaw.
359	Ozone	The ozone layer protects Earth.
360	Breakfast	Breakfast is the most important meal.
361	Dinosaur	Dinosaurs lived millions of years ago.
362	Teacup	She drank tea from a teacup.
363	Freshen	Open the window to freshen the air.
364	Escape	The bird tried to escape the cage.
365	Mosquito	A mosquito bit my arm.
366	Restaurant	We ate dinner at a restaurant.
367	Fishbowl	The goldfish swam in the fishbowl.
368	Bronze	The statue is made of bronze.
369	Deafen	The loud noise could deafen people.
370	Dumpling	She cooked dumplings for lunch.
371	Glossy	The magazine cover looks glossy.
372	Crumb	A crumb fell on the table.
373	Stomach	My stomach feels uncomfortable.
374	Bookshelf	The bookshelf is full of books.
375	Prompt	Please give a prompt reply.
376	Film	We watched a film together.
377	White	The walls are painted white.
378	Under	The cat hid under the table.
379	Comb	He used a comb for his hair.
380	Outside	The kids played outside.
381	Overdose	An overdose can be dangerous.
382	Bounce	The ball began to bounce.
383	Prison	The old prison is now a museum.
384	Kneel	Please kneel down carefully.
385	Equal	All students are equal.
386	Sneakers	She wore white sneakers.
387	Sneeze	He started to sneeze.
388	Wallet	He forgot his wallet at home.
389	Rhyme	The poem has a nice rhyme.
390	Antarctic	Penguins live in the Antarctic region.
391	Commercial	The commercial aired on television.
392	Octopus	An octopus has eight arms.
393	Scissors	Keep scissors away from children.
394	Wonderful	We had a wonderful time.
395	Quartz	Quartz is a hard mineral.
396	Wrong	Your answer is wrong.
397	Charger	I forgot to bring my charger.
398	Magnet	A magnet attracts metal.
399	Lawyer	The lawyer explained the law.
400	Fairness	Fairness is important in games.
401	Boots	She wore boots in the rain.
402	Skyscraper	The skyscraper is very tall.
403	Octagon	An octagon has eight sides.
404	Tripod	The camera is on a tripod.
405	Hooter	The hooter signaled the end of the game.
406	Wacky	He told a wacky story.
